"Suelo","Cobertura","Pendiente","Precipitación","Estado dominante","Tendencia funcional","Soporte pendiente","Soporte precipitación","Soporte causal","P(Infiltración baja)","P(Infiltración media)","P(Infiltración alta)","Suma","Regla aplicada"
"suelo_infiltracion_alta","agropecuaria","pend_media","prec_alta","media","alta","Apoya","Neutral","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación neutral."
"suelo_infiltracion_alta","agropecuaria","pend_alta","prec_baja","media","alta","Contradice","Contradice","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación contradice."
"suelo_infiltracion_alta","agropecuaria","pend_alta","prec_media","media","alta","Contradice","Apoya","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación apoya."
"suelo_infiltracion_alta","agropecuaria","pend_alta","prec_alta","media","alta","Contradice","Neutral","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación neutral."
"suelo_infiltracion_alta","antropica","pend_baja","prec_baja","media","alta","Neutral","Contradice","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación contradice."
"suelo_infiltracion_alta","antropica","pend_baja","prec_media","media","alta","Neutral","Apoya","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación apoya."
"suelo_infiltracion_alta","antropica","pend_baja","prec_alta","media","alta","Neutral","Neutral","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación neutral."
"suelo_infiltracion_alta","antropica","pend_media","prec_baja","media","alta","Apoya","Contradice","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación contradice."
"suelo_infiltracion_alta","antropica","pend_media","prec_media","media","alta","Apoya","Apoya","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación apoya."
"suelo_infiltracion_alta","antropica","pend_media","prec_alta","media","alta","Apoya","Neutral","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación neutral."
"suelo_infiltracion_alta","antropica","pend_alta","prec_baja","media","alta","Contradice","Contradice","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación contradice."
"suelo_infiltracion_alta","antropica","pend_alta","prec_media","media","alta","Contradice","Apoya","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación apoya."
"suelo_infiltracion_alta","antropica","pend_alta","prec_alta","media","alta","Contradice","Neutral","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación neutral."
"suelo_infiltracion_media","forestal_conservada","pend_baja","prec_baja","alta","No aplica","Apoya","Contradice","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación contradice."
"suelo_infiltracion_media","forestal_conservada","pend_baja","prec_media","alta","No aplica","Apoya","Neutral","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación neutral."
"suelo_infiltracion_media","forestal_conservada","pend_baja","prec_alta","alta","No aplica","Apoya","Apoya","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación apoya."
"suelo_infiltracion_media","forestal_conservada","pend_media","prec_baja","alta","No aplica","Neutral","Contradice","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación contradice."
"suelo_infiltracion_media","forestal_conservada","pend_media","prec_media","alta","No aplica","Neutral","Neutral","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación neutral."
"suelo_infiltracion_media","forestal_conservada","pend_media","prec_alta","alta","No aplica","Neutral","Apoya","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación apoya."
"suelo_infiltracion_media","forestal_conservada","pend_alta","prec_baja","alta","No aplica","Contradice","Contradice","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación contradice."
"suelo_infiltracion_media","forestal_conservada","pend_alta","prec_media","alta","No aplica","Contradice","Neutral","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación neutral."
"suelo_infiltracion_media","forestal_conservada","pend_alta","prec_alta","alta","No aplica","Contradice","Apoya","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación apoya."
"suelo_infiltracion_media","forestal_secundaria","pend_baja","prec_baja","media","alta","Neutral","Contradice","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación contradice."
"suelo_infiltracion_media","forestal_secundaria","pend_baja","prec_media","media","alta","Neutral","Apoya","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación apoya."
"suelo_infiltracion_media","forestal_secundaria","pend_baja","prec_alta","media","alta","Neutral","Neutral","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación neutral."
"suelo_infiltracion_media","forestal_secundaria","pend_media","prec_baja","media","alta","Apoya","Contradice","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación contradice."
"suelo_infiltracion_media","forestal_secundaria","pend_media","prec_media","media","alta","Apoya","Apoya","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación apoya."
"suelo_infiltracion_media","forestal_secundaria","pend_media","prec_alta","media","alta","Apoya","Neutral","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación neutral."
"suelo_infiltracion_media","forestal_secundaria","pend_alta","prec_baja","media","alta","Contradice","Contradice","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación contradice."
"suelo_infiltracion_media","forestal_secundaria","pend_alta","prec_media","media","alta","Contradice","Apoya","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación apoya."
"suelo_infiltracion_media","forestal_secundaria","pend_alta","prec_alta","media","alta","Contradice","Neutral","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente contradice; precipitación neutral."
"suelo_infiltracion_media","hidrofila_humedal","pend_baja","prec_baja","media","Neutral","Neutral","Contradice","Débil",0.25,0.5,0.25,1,"Suelo + cobertura → Media con tendencia neutral; pendiente neutral; precipitación contradice."
"suelo_infiltracion_media","hidrofila_humedal","pend_baja","prec_media","media","Neutral","Neutral","Apoya","Fuerte",0.15,0.7,0.15,1,"Suelo + cobertura → Media con tendencia neutral; pendiente neutral; precipitación apoya."
"suelo_infiltracion_media","hidrofila_humedal","pend_baja","prec_alta","media","Neutral","Neutral","Neutral","Moderado",0.2,0.6,0.2,1,"Suelo + cobertura → Media con tendencia neutral; pendiente neutral; precipitación neutral."
"suelo_infiltracion_media","hidrofila_humedal","pend_media","prec_baja","media","Neutral","Apoya","Contradice","Moderado",0.2,0.6,0.2,1,"Suelo + cobertura → Media con tendencia neutral; pendiente apoya; precipitación contradice."
"suelo_infiltracion_media","hidrofila_humedal","pend_media","prec_media","media","Neutral","Apoya","Apoya","Fuerte",0.15,0.7,0.15,1,"Suelo + cobertura → Media con tendencia neutral; pendiente apoya; precipitación apoya."
"suelo_infiltracion_media","hidrofila_humedal","pend_media","prec_alta","media","Neutral","Apoya","Neutral","Fuerte",0.15,0.7,0.15,1,"Suelo + cobertura → Media con tendencia neutral; pendiente apoya; precipitación neutral."
"suelo_infiltracion_media","hidrofila_humedal","pend_alta","prec_baja","media","Neutral","Contradice","Contradice","Débil",0.25,0.5,0.25,1,"Suelo + cobertura → Media con tendencia neutral; pendiente contradice; precipitación contradice."
"suelo_infiltracion_media","hidrofila_humedal","pend_alta","prec_media","media","Neutral","Contradice","Apoya","Moderado",0.2,0.6,0.2,1,"Suelo + cobertura → Media con tendencia neutral; pendiente contradice; precipitación apoya."
"suelo_infiltracion_media","hidrofila_humedal","pend_alta","prec_alta","media","Neutral","Contradice","Neutral","Débil",0.25,0.5,0.25,1,"Suelo + cobertura → Media con tendencia neutral; pendiente contradice; precipitación neutral."
"suelo_infiltracion_media","agropecuaria","pend_baja","prec_baja","media","baja","Neutral","Contradice","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación contradice."
"suelo_infiltracion_media","agropecuaria","pend_baja","prec_media","media","baja","Neutral","Apoya","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación apoya."
"suelo_infiltracion_media","agropecuaria","pend_baja","prec_alta","media","baja","Neutral","Neutral","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación neutral."
"suelo_infiltracion_media","agropecuaria","pend_media","prec_baja","media","baja","Apoya","Contradice","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación contradice."
"suelo_infiltracion_media","agropecuaria","pend_media","prec_media","media","baja","Apoya","Apoya","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación apoya."
"suelo_infiltracion_media","agropecuaria","pend_media","prec_alta","media","baja","Apoya","Neutral","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación neutral."
"suelo_infiltracion_media","agropecuaria","pend_alta","prec_baja","media","baja","Contradice","Contradice","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación contradice."
"suelo_infiltracion_media","agropecuaria","pend_alta","prec_media","media","baja","Contradice","Apoya","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación apoya."
"suelo_infiltracion_media","agropecuaria","pend_alta","prec_alta","media","baja","Contradice","Neutral","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación neutral."
"suelo_infiltracion_media","antropica","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_infiltracion_media","antropica","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_infiltracion_media","antropica","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_infiltracion_media","antropica","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_infiltracion_media","antropica","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_infiltracion_media","antropica","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_infiltracion_media","antropica","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
"suelo_infiltracion_media","antropica","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_infiltracion_media","antropica","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
"suelo_infiltracion_baja","forestal_conservada","pend_baja","prec_baja","media","baja","Neutral","Contradice","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación contradice."
"suelo_infiltracion_baja","forestal_conservada","pend_baja","prec_media","media","baja","Neutral","Apoya","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación apoya."
"suelo_infiltracion_baja","forestal_conservada","pend_baja","prec_alta","media","baja","Neutral","Neutral","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación neutral."
"suelo_infiltracion_baja","forestal_conservada","pend_media","prec_baja","media","baja","Apoya","Contradice","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación contradice."
"suelo_infiltracion_baja","forestal_conservada","pend_media","prec_media","media","baja","Apoya","Apoya","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación apoya."
"suelo_infiltracion_baja","forestal_conservada","pend_media","prec_alta","media","baja","Apoya","Neutral","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación neutral."
"suelo_infiltracion_baja","forestal_conservada","pend_alta","prec_baja","media","baja","Contradice","Contradice","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación contradice."
"suelo_infiltracion_baja","forestal_conservada","pend_alta","prec_media","media","baja","Contradice","Apoya","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación apoya."
"suelo_infiltracion_baja","forestal_conservada","pend_alta","prec_alta","media","baja","Contradice","Neutral","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación neutral."
"suelo_infiltracion_baja","forestal_secundaria","pend_baja","prec_baja","media","baja","Neutral","Contradice","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación contradice."
"suelo_infiltracion_baja","forestal_secundaria","pend_baja","prec_media","media","baja","Neutral","Apoya","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación apoya."
"suelo_infiltracion_baja","forestal_secundaria","pend_baja","prec_alta","media","baja","Neutral","Neutral","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente neutral; precipitación neutral."
"suelo_infiltracion_baja","forestal_secundaria","pend_media","prec_baja","media","baja","Apoya","Contradice","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación contradice."
"suelo_infiltracion_baja","forestal_secundaria","pend_media","prec_media","media","baja","Apoya","Apoya","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación apoya."
"suelo_infiltracion_baja","forestal_secundaria","pend_media","prec_alta","media","baja","Apoya","Neutral","Fuerte",0.2,0.7,0.1,1,"Suelo + cobertura → Media con tendencia baja; pendiente apoya; precipitación neutral."
"suelo_infiltracion_baja","forestal_secundaria","pend_alta","prec_baja","media","baja","Contradice","Contradice","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación contradice."
"suelo_infiltracion_baja","forestal_secundaria","pend_alta","prec_media","media","baja","Contradice","Apoya","Moderado",0.25,0.6,0.15,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación apoya."
"suelo_infiltracion_baja","forestal_secundaria","pend_alta","prec_alta","media","baja","Contradice","Neutral","Débil",0.3,0.5,0.2,1,"Suelo + cobertura → Media con tendencia baja; pendiente contradice; precipitación neutral."
"suelo_infiltracion_baja","hidrofila_humedal","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_infiltracion_baja","hidrofila_humedal","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_infiltracion_baja","hidrofila_humedal","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_infiltracion_baja","hidrofila_humedal","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_infiltracion_baja","hidrofila_humedal","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_infiltracion_baja","hidrofila_humedal","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_infiltracion_baja","hidrofila_humedal","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
"suelo_infiltracion_baja","hidrofila_humedal","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_infiltracion_baja","hidrofila_humedal","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
"suelo_infiltracion_baja","agropecuaria","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_infiltracion_baja","agropecuaria","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_infiltracion_baja","agropecuaria","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_infiltracion_baja","agropecuaria","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_infiltracion_baja","agropecuaria","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_infiltracion_baja","agropecuaria","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_infiltracion_baja","agropecuaria","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
"suelo_infiltracion_baja","agropecuaria","pend_alta","prec_media","baja","No aplica","Apoya","Neutral","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación neutral."
"suelo_infiltracion_baja","agropecuaria","pend_alta","prec_alta","baja","No aplica","Apoya","Contradice","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación contradice."
"suelo_infiltracion_baja","antropica","pend_baja","prec_baja","baja","No aplica","Contradice","Apoya","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación apoya."
"suelo_infiltracion_baja","antropica","pend_baja","prec_media","baja","No aplica","Contradice","Neutral","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación neutral."
"suelo_infiltracion_baja","antropica","pend_baja","prec_alta","baja","No aplica","Contradice","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente contradice; precipitación contradice."
"suelo_infiltracion_baja","antropica","pend_media","prec_baja","baja","No aplica","Neutral","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación apoya."
"suelo_infiltracion_baja","antropica","pend_media","prec_media","baja","No aplica","Neutral","Neutral","Moderado",0.6,0.25,0.15,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación neutral."
"suelo_infiltracion_baja","antropica","pend_media","prec_alta","baja","No aplica","Neutral","Contradice","Débil",0.5,0.3,0.2,1,"Suelo + cobertura → Baja; pendiente neutral; precipitación contradice."
"suelo_infiltracion_baja","antropica","pend_alta","prec_baja","baja","No aplica","Apoya","Apoya","Fuerte",0.7,0.2,0.1,1,"Suelo + cobertura → Baja; pendiente apoya; precipitación apoya."
